sr_no,date_of_complaint,complaint_number,complainant_name_org,category_of_complaint,complaint,place_of_incident,violation_of_law,action_initiated,status,date_of_action_taken,state_id,page,ai_animal_type,ai_dog_type,ai_complaint_type
1,12/04/2026,9-4/2026-27/3027/PCA,Unknown,-,"On 28.03.2026, a community puppy has been beaten to death by a person because it damaged his footwear. The locals rescued the pup and it was being treated at Humane Animal Society, Coimbatore but in vain. The pup had been suffering despite treatment and succumbed to its injuries on 10.04.2026.

Injuring and causing death of an animal is a cognizable offense according to law but Tamilnadu Police Department repeatedly refuse to file FIR against the culprits in cases of Animal Cruelty. Hence it is requested that the necessary authorities may kindly be directed to officially register a case against the perpetrator and FIR be registered against the perpetrator.","Kakkan St, Rathinapuri, Tatabad, Coimbatore - 641 027.",-,-,-,21/04/2026,30,1,dog,stray,harm_or_threat_to_dogs
2,17/03/2026,9-4/2025-26/2917/PCA,Doctor Venkatesh,-,"Dr. Venkatesh of Lyka Pet Clinic, Dindigul, had performed ear cropping and tail bobbing aesthetic surgery on a doberman puppy belonging to Mr.Anand, appanaickenpalayam. phone 94430 15017. email : rakkianand22@gmail.com. The surgery was arranged by the breeder Anish of pannimadai, coimbatore, phone 99942 44737. The surgery was done not in a clinic but in the breeders breeding facility under unsanitary , non sterile conditions.","Appanaickenpalayam
Coimbatore",-,-,-,21/04/2026,30,1,dog,pet,harm_or_threat_to_dogs
3,12/03/2026,9-4/2025-26/2900/PCA,security guards,-,"I am writing to formally bring to your attention a disturbing incident of animal cruelty that occurred inside the campus of Saveetha University, Chennai, Tamil Nadu.

On the university premises, specifically in the canteen area, a group of security guards reportedly captured and brutally killed a stray puppy. The act was carried out in a violent and inhumane manner within the campus grounds. This incident has caused significant distress among students and individuals who witnessed or later came to know about the event.

The puppy was a harmless stray animal that had been living around the campus. Instead of seeking assistance from authorized animal welfare organizations or following humane methods for handling stray animals, the individuals involved resorted to extreme cruelty, resulting in the death of the puppy. Such actions are deeply concerning and constitute a serious violation of animal protection laws in India.

This act appears to be a clear violation of the Prevention of Cruelty to Animals Act, 1960, which prohibits causing unnecessary pain or suffering to animals. Incidents like this not only demonstrate disregard for animal life but also create an unsafe and insensitive environment within an educational institution.

I respectfully request the Animal Welfare Board of India to kindly investigate this matter and take appropriate action against the individuals responsible for this cruel act. It would also be helpful if the university administration is instructed to implement proper guidelines for the humane handling and protection of stray animals on campus.","Saveetha Engineering College
Saveetha Nagar, Thandalam,
Chennai - Bangalore National Highway,
Kanchipuram",-,-,-,21/04/2026,30,1,dog,stray,harm_or_threat_to_dogs
4,04/02/2026,9-4/2025-26/2801/PCA,AOne Beef Stall,-,"Respected Sir / Madam,

This is bring to your kind notice, regarding my earlier complaint filed against illegal Slaughtering of COWS and BULLS. Complaint Number: 9-4/2025-26/2732/PCA.

So far only the Name Board: A-1 Beef Stall has been removed. No other action has been taken against the criminals.

The ILLEGAL SLAUGHTERING of Cows, Bulls and Calves is still happening in this illegal Slaughter-house on a Daily basis, which is functioning in a nameless Beef stall, built using blue coloured aluminium sheet.

I am always available for any further assistance or clarification that may be required in the investigation of this matter. Thank You in advance for your kind attention and prompt action in this regard. 

Thanks and Regards, 
Shivram
Mobile / Whatsapp: 90805 93240.","A-1 Beef Stall, M.S.Nagar, Near Sri Sai Super Market, Nemili - Senthamangalam Road, Pudhu Kandigai, Sayanapuram, Ranipet District. Pincode - 631 051.",-,-,-,13/02/2026,30,1,cow,Not Applicable,Not Applicable
5,11/01/2026,9-4/2025-26/2732/PCA,-,-,"Dear Sir / Madam,

I am Shivram from Chennai.

I am writing this complaint to bring to your attention about illegal Slaughtering of Cows, Bulls and Calves.

illegal Cattle Slaughtering activity is taking place in this location which is not a licensed slaughter-house, which constitutes a clear violation of various statutory provisions, including but not limited to:

1. The Tamil Nadu Animal Preservation Act, 1958 - specifically, Rule 4, Rule 6 and Rule 8, which mandates the preservation of Animals and prohibits unauthorized Slaughter of Cows, Bull and Calves.

2. The Prevention of Cruelty to Animals Act, 1960, which seeks to prevent the infliction of unnecessary pain or suffering on animals.
The Tamil Nadu Village Panchayats - Prohibition or Regulation of the Use of Places for Slaughtering Animals and Licensing of Slaughterers Rules, 1999 - particularly, Rule 3 and Rule 5, which governs the licensing and regulation of Slaughter-houses and the individuals authorized to carry out the Slaughter.

This illegal Cattle Slaughtering not only violates the above-mentioned laws but also causes immense cruelty to the animals, which is strictly prohibited under the legal framework. It is pertinent to note that this activity is being conducted without the requisite license or regulatory approval, further compounding the severity of the offense.

I kindly request you to take immediate cognizance of this matter and do the needful to register an FIR against all individuals and entities involved in this unlawful operation. Please ensure that all Cattles which are alive in that place are safely rescued immediately and handed over to registered Animal welfare organizations like Blue-Cross or to any Gaushalas registered with Animal Welfare Board of India, where they will be taken care-of well, till the end.

It is crucial that a thorough investigation is conducted to identify the perpetrators, and strict legal action is taken to bring them to justice. Also please ensure immediate shut-down of this illegal Slaughter-house and such Slaughtering offences are not repeated in the future.

I am always available for any further assistance or clarification that may be required in the investigation of this matter.

Thank You in advance for your kind attention and prompt action in this regard.

Thanks and Regards,
Shivram
Mobile / Whatsapp: 90805 93240.","A-1 Beef Stall,
M.S.Nagar,
Near Sri Sai Super Market (SSS Super Market),
Nemili - Senthamangalam Road,
Pudhu Kandigai,
Sayanapuram,
Ranipet District.
Pincode - 631 051.",-,-,-,15/01/2026,30,1,cow,Not Applicable,Not Applicable
6,02/01/2026,9-4/2025-26/2701/PCA,A Bhaskaran,-,A Bhaskaran who is a staff in SVCE college has been torturing and killing animals in the premises.,"SVCE college, pennalur village, Chennai- Bengaluru high road,sriperambadur",-,-,-,15/01/2026,30,1,unclear,Not Applicable,Not Applicable
7,30/12/2025,9-4/2025-26/2693/PCA,Reuva Synthekeya,-,"Kindly insist protection of street puppies and dogs
Kindly provide justice to dogs that have been killed by ruthless mankind .
A 3 month old puppy was killed by a car driver by riding on its neck. The puppy was right in front of him and he admits that he did not see it. He never got out of his car too. Fresh blood was oozing out from the little ones mouth. Mother dog was moaning.It never bit or took revenge on anyone.May  strict rules be emerged so that these ruthless incidents would not happen again. May Justice be provided.","Arani,mc theatre",-,-,-,15/01/2026,30,1,dog,stray,harm_or_threat_to_dogs
8,07/12/2025,9-4/2025-26/2631/PCA,Kalyan Kumar,-,"Sir my self KALYAN KUMAR and i am living with my family in the above address , my neighbour one ladys family is living and in our street we have 2 stray dogs and we feed them daily that lady name is Selvi and her husbend name is shankar , that lady is beating the 2 stray dogs very harshly and torturing them using hot water and Iron rods I have all the video footages with me , that dogs gott injured and we took them hospital for treatments daily this lady is torturing the dogs and harming them without any reason , please take an seviour action on that lady and I am ready to do anything for this issue please take this in hight priority and save the dogs life I am begging you",4/434A Goundampalayam pudur Ganapathipalayam Tiruppur 641605,-,-,-,15/01/2026,30,1,dog,stray,harm_or_threat_to_dogs
9,04/12/2025,9-4/2025-26/2616/PCA,-,-,"I would like to file an urgent complaint about a cruel and illegal activity taking place in our residential area. Certain residents are reportedly paying an individual to capture and kill stray cats within the premises.

This act is a serious violation of animal welfare laws and is extremely disturbing for the community. I request immediate investigation and strict action against the persons involved, as well as protection for the remaining stray animals in the area.

Your quick response will help prevent further harm and ensure the safety and humane treatment of these animals.",-,-,-,-,15/01/2026,30,1,cat,Not Applicable,Not Applicable
10,24/11/2025,9-4/2025-26/2584/PCA,-,-,Many stray dogs in our street. More than ten numbers are roaming in our street. Disturbance during night continuous barking and coming to bite everyone and fight among each other creating a fearful environment. Our kids are getting feared of it. It is affecting our day to day normal life. Please do the needful. Take action as soon as possible.,"5/88, Pillaiyar Kovil Street, New Kadaiyampatti, Bhavani, Erode - 638312",-,-,-,27/11/2025,30,1,dog,stray,harm_fear_or_nuisance_by_dogs
